province,year,month,form,count,capital_subscribed
Ciudad Real,2011,3,SA,1,100000
Córdoba,2011,3,SA,0,0
"Coruña, A",2011,3,SA,1,60800
Cuenca,2011,3,SA,1,60000
Girona,2011,3,SA,1,600000
Granada,2011,3,SA,1,65000
Guadalajara,2011,3,SA,0,0
Gipuzkoa,2011,3,SA,0,0
Huelva,2011,3,SA,0,0
Huesca,2011,3,SA,1,198000
Jaén,2011,3,SA,1,61000
León,2011,3,SA,0,0
Lleida,2011,3,SA,0,0
"Rioja, La",2011,3,SA,0,0
Lugo,2011,3,SA,0,0
Madrid,2011,3,SA,30,12540607302
Málaga,2011,3,SA,4,223050
Murcia,2011,3,SA,3,180000
Navarra,2011,3,SA,1,700000
Ourense,2011,3,SA,0,0
Asturias,2011,3,SA,2,182000
Palencia,2011,3,SA,0,0
"Palmas, Las",2011,3,SA,0,0
Pontevedra,2011,3,SA,2,460000
Salamanca,2011,3,SA,0,0
Santa Cruz de Tenerife,2011,3,SA,0,0
Cantabria,2011,3,SA,0,0
Segovia,2011,3,SA,0,0
Sevilla,2011,3,SA,0,0
Soria,2011,3,SA,0,0
Tarragona,2011,3,SA,1,60000
Teruel,2011,3,SA,1,11060000
Toledo,2011,3,SA,0,0
València / Valencia,2011,3,SA,1,60000
Valladolid,2011,3,SA,1,60200
Bizkaia,2011,3,SA,5,3955000
Zamora,2011,3,SA,0,0
Zaragoza,2011,3,SA,6,65276044
Ceuta,2011,3,SA,0,0
Melilla,2011,3,SA,0,0
Araba / Álava,2011,3,SL,56,2780604
Albacete,2011,3,SL,77,1267031
Alacant / Alicante,2011,3,SL,459,7515644
Almería,2011,3,SL,127,3573294
Ávila,2011,3,SL,14,2116636
Badajoz,2011,3,SL,85,2737807
Illes Balears,2011,3,SL,246,26541768
Barcelona,2011,3,SL,1273,37426457
Burgos,2011,3,SL,44,350382
Cáceres,2011,3,SL,51,3361039
Cádiz,2011,3,SL,166,3481483
Castelló / Castellón,2011,3,SL,78,32825345
Ciudad Real,2011,3,SL,77,645640
Córdoba,2011,3,SL,144,2964689
"Coruña, A",2011,3,SL,172,4648293
Cuenca,2011,3,SL,34,251520
Girona,2011,3,SL,146,6881430
Granada,2011,3,SL,165,2951918
Guadalajara,2011,3,SL,37,162814
Gipuzkoa,2011,3,SL,104,3643885
Huelva,2011,3,SL,79,1077055
Huesca,2011,3,SL,36,1477665
Jaén,2011,3,SL,58,547158
León,2011,3,SL,59,824900
