province,year,month,form,count
Granada,2011,4,Otras,0
Guadalajara,2011,4,Otras,0
Gipuzkoa,2011,4,Otras,1
Huelva,2011,4,Otras,0
Huesca,2011,4,Otras,0
Jaén,2011,4,Otras,1
León,2011,4,Otras,0
Lleida,2011,4,Otras,0
"Rioja, La",2011,4,Otras,0
Lugo,2011,4,Otras,0
Madrid,2011,4,Otras,5
Málaga,2011,4,Otras,0
Murcia,2011,4,Otras,1
Navarra,2011,4,Otras,0
Ourense,2011,4,Otras,0
Asturias,2011,4,Otras,1
Palencia,2011,4,Otras,0
"Palmas, Las",2011,4,Otras,0
Pontevedra,2011,4,Otras,1
Salamanca,2011,4,Otras,0
Santa Cruz de Tenerife,2011,4,Otras,0
Cantabria,2011,4,Otras,0
Segovia,2011,4,Otras,0
Sevilla,2011,4,Otras,0
Soria,2011,4,Otras,0
Tarragona,2011,4,Otras,0
Teruel,2011,4,Otras,0
Toledo,2011,4,Otras,1
València / Valencia,2011,4,Otras,4
Valladolid,2011,4,Otras,0
Bizkaia,2011,4,Otras,0
Zamora,2011,4,Otras,0
Zaragoza,2011,4,Otras,2
Ceuta,2011,4,Otras,0
Melilla,2011,4,Otras,0
Araba / Álava,2011,5,SA,3
Albacete,2011,5,SA,0
Alacant / Alicante,2011,5,SA,8
Almería,2011,5,SA,1
Ávila,2011,5,SA,0
Badajoz,2011,5,SA,1
Illes Balears,2011,5,SA,2
Barcelona,2011,5,SA,27
Burgos,2011,5,SA,0
Cáceres,2011,5,SA,0
Cádiz,2011,5,SA,2
Castelló / Castellón,2011,5,SA,1
Ciudad Real,2011,5,SA,0
Córdoba,2011,5,SA,3
"Coruña, A",2011,5,SA,0
Cuenca,2011,5,SA,0
Girona,2011,5,SA,0
Granada,2011,5,SA,1
Guadalajara,2011,5,SA,0
Gipuzkoa,2011,5,SA,2
Huelva,2011,5,SA,0
Huesca,2011,5,SA,0
Jaén,2011,5,SA,0
León,2011,5,SA,1
Lleida,2011,5,SA,2
"Rioja, La",2011,5,SA,1
Lugo,2011,5,SA,0
Madrid,2011,5,SA,40
Málaga,2011,5,SA,2
Murcia,2011,5,SA,1
Navarra,2011,5,SA,0
Ourense,2011,5,SA,0
Asturias,2011,5,SA,3
Palencia,2011,5,SA,0
"Palmas, Las",2011,5,SA,3
Pontevedra,2011,5,SA,0
Salamanca,2011,5,SA,0
Santa Cruz de Tenerife,2011,5,SA,4
Cantabria,2011,5,SA,0
Segovia,2011,5,SA,3
Sevilla,2011,5,SA,2
Soria,2011,5,SA,0
Tarragona,2011,5,SA,3
Teruel,2011,5,SA,2
Toledo,2011,5,SA,0
València / Valencia,2011,5,SA,3
Valladolid,2011,5,SA,1
Bizkaia,2011,5,SA,8
Zamora,2011,5,SA,0
Zaragoza,2011,5,SA,3
Ceuta,2011,5,SA,1
Melilla,2011,5,SA,1
Araba / Álava,2011,5,SL,10
Albacete,2011,5,SL,15
Alacant / Alicante,2011,5,SL,51
Almería,2011,5,SL,14
Ávila,2011,5,SL,2
Badajoz,2011,5,SL,13
Illes Balears,2011,5,SL,40
Barcelona,2011,5,SL,269
Burgos,2011,5,SL,13
Cáceres,2011,5,SL,4
Cádiz,2011,5,SL,19
Castelló / Castellón,2011,5,SL,20
Ciudad Real,2011,5,SL,9
Córdoba,2011,5,SL,18
"Coruña, A",2011,5,SL,31
Cuenca,2011,5,SL,2
Girona,2011,5,SL,18
Granada,2011,5,SL,17
Guadalajara,2011,5,SL,4
Gipuzkoa,2011,5,SL,25
Huelva,2011,5,SL,9
Huesca,2011,5,SL,2
Jaén,2011,5,SL,21
León,2011,5,SL,8
Lleida,2011,5,SL,19
"Rioja, La",2011,5,SL,3
Lugo,2011,5,SL,11
Madrid,2011,5,SL,217
Málaga,2011,5,SL,47
Murcia,2011,5,SL,22
Navarra,2011,5,SL,15
Ourense,2011,5,SL,10
Asturias,2011,5,SL,20
Palencia,2011,5,SL,15
"Palmas, Las",2011,5,SL,24
Pontevedra,2011,5,SL,15
Salamanca,2011,5,SL,9
Santa Cruz de Tenerife,2011,5,SL,17
Cantabria,2011,5,SL,17
Segovia,2011,5,SL,5
Sevilla,2011,5,SL,41
Soria,2011,5,SL,5
Tarragona,2011,5,SL,24
Teruel,2011,5,SL,0
Toledo,2011,5,SL,13
València / Valencia,2011,5,SL,79
Valladolid,2011,5,SL,14
Bizkaia,2011,5,SL,35
Zamora,2011,5,SL,3
Zaragoza,2011,5,SL,25
Ceuta,2011,5,SL,1
Melilla,2011,5,SL,0
Araba / Álava,2011,5,Otras,0
Albacete,2011,5,Otras,2
Alacant / Alicante,2011,5,Otras,0
