province,year,month,form,count,capital_subscribed
Cádiz,2011,3,SA,0,0
Castellón / Castelló,2011,3,SA,0,0
Ciudad Real,2011,3,SA,2,191694
Córdoba,2011,3,SA,7,685034
A Coruña,2011,3,SA,4,12661617
Cuenca,2011,3,SA,0,0
Girona,2011,3,SA,5,1296294
Granada,2011,3,SA,7,78034196
Guadalajara,2011,3,SA,0,0
Gipuzkoa,2011,3,SA,6,12136512
Huelva,2011,3,SA,2,316795
Huesca,2011,3,SA,0,0
Jaén,2011,3,SA,2,33394970
León,2011,3,SA,5,2801334
Lleida,2011,3,SA,2,110600
La Rioja,2011,3,SA,1,417998
Lugo,2011,3,SA,1,30050
Madrid,2011,3,SA,100,364107267
Málaga,2011,3,SA,8,19496505
Murcia,2011,3,SA,10,4753900
Navarra,2011,3,SA,12,12000959
Ourense,2011,3,SA,1,425000
Asturias,2011,3,SA,10,46100351
Palencia,2011,3,SA,2,355971
Las Palmas,2011,3,SA,3,2542905
Pontevedra,2011,3,SA,7,12980198
Salamanca,2011,3,SA,3,4212020
Santa Cruz de Tenerife,2011,3,SA,5,25955528
Cantabria,2011,3,SA,6,3427819
Segovia,2011,3,SA,0,0
Sevilla,2011,3,SA,11,27543477
Soria,2011,3,SA,1,3005
Tarragona,2011,3,SA,3,11954845
Teruel,2011,3,SA,1,200000
Toledo,2011,3,SA,4,1215330
Valencia / València,2011,3,SA,13,36717570
Valladolid,2011,3,SA,3,3509011
Bizkaia,2011,3,SA,14,280356153
Zamora,2011,3,SA,1,66111
Zaragoza,2011,3,SA,8,7085598
Ceuta,2011,3,SA,0,0
Melilla,2011,3,SA,0,0
Araba / Álava,2011,3,SL,20,13717931
Albacete,2011,3,SL,22,5221459
Alicante / Alacant,2011,3,SL,101,69860652
Almería,2011,3,SL,50,41102933
Ávila,2011,3,SL,8,13623766
Badajoz,2011,3,SL,31,8804237
Illes Balears,2011,3,SL,110,43623992
Barcelona,2011,3,SL,501,468759530
Burgos,2011,3,SL,17,5514503
Cáceres,2011,3,SL,13,8049388
Cádiz,2011,3,SL,50,9653042
Castellón / Castelló,2011,3,SL,30,12682253
Ciudad Real,2011,3,SL,36,11138554
Córdoba,2011,3,SL,47,79335983
A Coruña,2011,3,SL,62,26573917
Cuenca,2011,3,SL,10,1112167
Girona,2011,3,SL,44,8914304
Granada,2011,3,SL,44,12656044
Guadalajara,2011,3,SL,13,2546958
Gipuzkoa,2011,3,SL,41,21376503
Huelva,2011,3,SL,17,2991871
Huesca,2011,3,SL,24,5116562
Jaén,2011,3,SL,29,7081065
León,2011,3,SL,21,3203542
Lleida,2011,3,SL,51,8244397
La Rioja,2011,3,SL,19,19257058
Lugo,2011,3,SL,19,1849365
Madrid,2011,3,SL,679,483989058
Málaga,2011,3,SL,82,90560463
Murcia,2011,3,SL,115,36983748
Navarra,2011,3,SL,49,34397379
Ourense,2011,3,SL,17,3437731
Asturias,2011,3,SL,66,72019287
Palencia,2011,3,SL,8,2083192
Las Palmas,2011,3,SL,54,15635952
Pontevedra,2011,3,SL,57,28601760
Salamanca,2011,3,SL,15,2283232
Santa Cruz de Tenerife,2011,3,SL,51,14796831
Cantabria,2011,3,SL,29,11040827
Segovia,2011,3,SL,11,3550324
Sevilla,2011,3,SL,87,102607678
Soria,2011,3,SL,1,140000
Tarragona,2011,3,SL,53,8280740
Teruel,2011,3,SL,4,361756
Toledo,2011,3,SL,40,9872686
Valencia / València,2011,3,SL,184,137569409
Valladolid,2011,3,SL,32,5167093
Bizkaia,2011,3,SL,95,58172019
Zamora,2011,3,SL,19,3321021
Zaragoza,2011,3,SL,87,57788056
Ceuta,2011,3,SL,1,500
Melilla,2011,3,SL,0,0
Araba / Álava,2011,3,Otras,0,0
Albacete,2011,3,Otras,0,0
Alicante / Alacant,2011,3,Otras,0,0
Almería,2011,3,Otras,0,0
Ávila,2011,3,Otras,0,0
Badajoz,2011,3,Otras,0,0
Illes Balears,2011,3,Otras,1,5270
Barcelona,2011,3,Otras,6,174699
Burgos,2011,3,Otras,0,0
Cáceres,2011,3,Otras,0,0
Cádiz,2011,3,Otras,1,400000
Castellón / Castelló,2011,3,Otras,0,0
Ciudad Real,2011,3,Otras,0,0
Córdoba,2011,3,Otras,0,0
A Coruña,2011,3,Otras,0,0
Cuenca,2011,3,Otras,0,0
Girona,2011,3,Otras,0,0
Granada,2011,3,Otras,0,0
Guadalajara,2011,3,Otras,0,0
Gipuzkoa,2011,3,Otras,0,0
Huelva,2011,3,Otras,0,0
Huesca,2011,3,Otras,0,0
Jaén,2011,3,Otras,0,0
León,2011,3,Otras,0,0
Lleida,2011,3,Otras,0,0
La Rioja,2011,3,Otras,0,0
Lugo,2011,3,Otras,0,0
Madrid,2011,3,Otras,10,33234040
Málaga,2011,3,Otras,0,0
Murcia,2011,3,Otras,0,0
Navarra,2011,3,Otras,0,0
Ourense,2011,3,Otras,0,0
Asturias,2011,3,Otras,0,0
Palencia,2011,3,Otras,0,0
Las Palmas,2011,3,Otras,0,0
Pontevedra,2011,3,Otras,0,0
Salamanca,2011,3,Otras,0,0
Santa Cruz de Tenerife,2011,3,Otras,0,0
Cantabria,2011,3,Otras,0,0
Segovia,2011,3,Otras,0,0
Sevilla,2011,3,Otras,0,0
Soria,2011,3,Otras,0,0
Tarragona,2011,3,Otras,1,6000
Teruel,2011,3,Otras,0,0
Toledo,2011,3,Otras,0,0
Valencia / València,2011,3,Otras,0,0
Valladolid,2011,3,Otras,0,0
Bizkaia,2011,3,Otras,2,55750000
Zamora,2011,3,Otras,0,0
Zaragoza,2011,3,Otras,0,0
Ceuta,2011,3,Otras,0,0
Melilla,2011,3,Otras,0,0
Araba / Álava,2011,4,SA,3,9500000
Albacete,2011,4,SA,3,1691510
Alicante / Alacant,2011,4,SA,1,2700000
Almería,2011,4,SA,5,2327513
Ávila,2011,4,SA,0,0
Badajoz,2011,4,SA,3,1449000
Illes Balears,2011,4,SA,4,4824045
Barcelona,2011,4,SA,42,190918747
Burgos,2011,4,SA,2,540105
Cáceres,2011,4,SA,1,518400
Cádiz,2011,4,SA,0,0
Castellón / Castelló,2011,4,SA,4,786852
Ciudad Real,2011,4,SA,2,182129
Córdoba,2011,4,SA,1,601012
A Coruña,2011,4,SA,2,130675
Cuenca,2011,4,SA,0,0
Girona,2011,4,SA,5,2351288
Granada,2011,4,SA,5,511981
Guadalajara,2011,4,SA,3,12597825
Gipuzkoa,2011,4,SA,1,30003
Huelva,2011,4,SA,3,2426661
Huesca,2011,4,SA,0,0
Jaén,2011,4,SA,3,10413012
León,2011,4,SA,6,1684764
Lleida,2011,4,SA,5,866070
La Rioja,2011,4,SA,0,0
Lugo,2011,4,SA,3,1721917
Madrid,2011,4,SA,50,4221985870
Málaga,2011,4,SA,10,4585877
Murcia,2011,4,SA,6,383664
Navarra,2011,4,SA,5,4010557
Ourense,2011,4,SA,0,0
Asturias,2011,4,SA,4,1505003
Palencia,2011,4,SA,0,0
Las Palmas,2011,4,SA,1,200045
Pontevedra,2011,4,SA,5,3206501
Salamanca,2011,4,SA,1,1000000
Santa Cruz de Tenerife,2011,4,SA,4,21504578
Cantabria,2011,4,SA,3,4329308
Segovia,2011,4,SA,0,0
Sevilla,2011,4,SA,10,75241008
Soria,2011,4,SA,1,500000
Tarragona,2011,4,SA,1,453806
Teruel,2011,4,SA,2,359711
Toledo,2011,4,SA,2,883085
Valencia / València,2011,4,SA,5,78780589
Valladolid,2011,4,SA,4,4850418
Bizkaia,2011,4,SA,7,31611052
Zamora,2011,4,SA,1,540190
Zaragoza,2011,4,SA,6,2860702
Ceuta,2011,4,SA,0,0
Melilla,2011,4,SA,0,0
Araba / Álava,2011,4,SL,9,1758523
Albacete,2011,4,SL,25,30439813
Alicante / Alacant,2011,4,SL,66,20844238
Almería,2011,4,SL,33,4861293
Ávila,2011,4,SL,7,450692
Badajoz,2011,4,SL,25,3823630
Illes Balears,2011,4,SL,65,125610609
Barcelona,2011,4,SL,445,168955182
Burgos,2011,4,SL,16,23872236
Cáceres,2011,4,SL,14,7101817
Cádiz,2011,4,SL,46,12768246
Castellón / Castelló,2011,4,SL,33,9302047
Ciudad Real,2011,4,SL,23,7343994
Córdoba,2011,4,SL,48,10654360
A Coruña,2011,4,SL,63,35279846
Cuenca,2011,4,SL,11,1003394
Girona,2011,4,SL,66,12356323
Granada,2011,4,SL,45,18879201
Guadalajara,2011,4,SL,8,5470344
Gipuzkoa,2011,4,SL,36,12017386
Huelva,2011,4,SL,15,6220373
Huesca,2011,4,SL,14,2032055
Jaén,2011,4,SL,13,2927586
León,2011,4,SL,17,2862374
Lleida,2011,4,SL,51,10892955
La Rioja,2011,4,SL,16,7820930
Lugo,2011,4,SL,11,1656620
Madrid,2011,4,SL,533,483594761
Málaga,2011,4,SL,77,23341928
Murcia,2011,4,SL,69,36065827
Navarra,2011,4,SL,32,73777751
Ourense,2011,4,SL,20,4833146
Asturias,2011,4,SL,30,3126357
Palencia,2011,4,SL,7,2520106
Las Palmas,2011,4,SL,42,43921542
Pontevedra,2011,4,SL,62,17935361
Salamanca,2011,4,SL,10,719582
Santa Cruz de Tenerife,2011,4,SL,30,11349538
Cantabria,2011,4,SL,17,7771196
Segovia,2011,4,SL,6,2278123
Sevilla,2011,4,SL,95,31128735
Soria,2011,4,SL,3,212550
Tarragona,2011,4,SL,35,7208391
Teruel,2011,4,SL,9,6444144
Toledo,2011,4,SL,27,5595562
Valencia / València,2011,4,SL,160,71183117
Valladolid,2011,4,SL,29,11380770
Bizkaia,2011,4,SL,52,14040172
Zamora,2011,4,SL,11,1123107
Zaragoza,2011,4,SL,53,9360537
Ceuta,2011,4,SL,2,1180967
Melilla,2011,4,SL,0,0
Araba / Álava,2011,4,Otras,0,0
Albacete,2011,4,Otras,0,0
Alicante / Alacant,2011,4,Otras,0,0
Almería,2011,4,Otras,0,0
Ávila,2011,4,Otras,0,0
Badajoz,2011,4,Otras,0,0
Illes Balears,2011,4,Otras,0,0
Barcelona,2011,4,Otras,11,731212
Burgos,2011,4,Otras,0,0
Cáceres,2011,4,Otras,0,0
Cádiz,2011,4,Otras,0,0
Castellón / Castelló,2011,4,Otras,0,0
Ciudad Real,2011,4,Otras,0,0
Córdoba,2011,4,Otras,0,0
A Coruña,2011,4,Otras,0,0
Cuenca,2011,4,Otras,0,0
Girona,2011,4,Otras,0,0
Granada,2011,4,Otras,0,0
Guadalajara,2011,4,Otras,0,0
Gipuzkoa,2011,4,Otras,0,0
Huelva,2011,4,Otras,0,0
Huesca,2011,4,Otras,0,0
Jaén,2011,4,Otras,0,0
León,2011,4,Otras,0,0
Lleida,2011,4,Otras,0,0
La Rioja,2011,4,Otras,0,0
Lugo,2011,4,Otras,0,0
Madrid,2011,4,Otras,2,6598634
Málaga,2011,4,Otras,0,0
Murcia,2011,4,Otras,0,0
Navarra,2011,4,Otras,0,0
Ourense,2011,4,Otras,0,0
Asturias,2011,4,Otras,0,0
Palencia,2011,4,Otras,0,0
Las Palmas,2011,4,Otras,0,0
Pontevedra,2011,4,Otras,0,0
Salamanca,2011,4,Otras,0,0
Santa Cruz de Tenerife,2011,4,Otras,0,0
Cantabria,2011,4,Otras,0,0
Segovia,2011,4,Otras,0,0
Sevilla,2011,4,Otras,0,0
Soria,2011,4,Otras,0,0
Tarragona,2011,4,Otras,1,28000
Teruel,2011,4,Otras,0,0
Toledo,2011,4,Otras,0,0
Valencia / València,2011,4,Otras,0,0
Valladolid,2011,4,Otras,0,0
Bizkaia,2011,4,Otras,0,0
Zamora,2011,4,Otras,0,0
Zaragoza,2011,4,Otras,0,0
Ceuta,2011,4,Otras,0,0
Melilla,2011,4,Otras,0,0
Araba / Álava,2011,5,SA,1,450000
Albacete,2011,5,SA,1,256031
Alicante / Alacant,2011,5,SA,6,53303811
Almería,2011,5,SA,1,6500
Ávila,2011,5,SA,0,0
Badajoz,2011,5,SA,0,0
Illes Balears,2011,5,SA,12,7054239
Barcelona,2011,5,SA,82,1960517311
Burgos,2011,5,SA,2,10125354
Cáceres,2011,5,SA,0,0
Cádiz,2011,5,SA,0,0
Castellón / Castelló,2011,5,SA,2,211885
Ciudad Real,2011,5,SA,0,0
Córdoba,2011,5,SA,0,0
A Coruña,2011,5,SA,8,26494857
Cuenca,2011,5,SA,4,2676693
Girona,2011,5,SA,5,448897
Granada,2011,5,SA,5,5406589
Guadalajara,2011,5,SA,0,0
Gipuzkoa,2011,5,SA,7,2600914
Huelva,2011,5,SA,3,2157699
Huesca,2011,5,SA,1,15060
Jaén,2011,5,SA,2,268100
León,2011,5,SA,0,0
Lleida,2011,5,SA,5,5934108
La Rioja,2011,5,SA,0,0
Lugo,2011,5,SA,2,2621786
Madrid,2011,5,SA,93,2864041249
Málaga,2011,5,SA,6,3683092
Murcia,2011,5,SA,7,1819567
Navarra,2011,5,SA,4,3642878
Ourense,2011,5,SA,2,701738
Asturias,2011,5,SA,5,2688932
Palencia,2011,5,SA,0,0
Las Palmas,2011,5,SA,0,0
Pontevedra,2011,5,SA,3,1122023
Salamanca,2011,5,SA,1,28307
Santa Cruz de Tenerife,2011,5,SA,4,77170
Cantabria,2011,5,SA,1,375002
Segovia,2011,5,SA,1,48082
Sevilla,2011,5,SA,7,1261043
Soria,2011,5,SA,0,0
Tarragona,2011,5,SA,6,1257158
Teruel,2011,5,SA,1,730005
Toledo,2011,5,SA,3,3944545
Valencia / València,2011,5,SA,10,5349990
Valladolid,2011,5,SA,1,92232
Bizkaia,2011,5,SA,19,45174072
Zamora,2011,5,SA,0,0
Zaragoza,2011,5,SA,4,2177162
Ceuta,2011,5,SA,0,0
Melilla,2011,5,SA,0,0
Araba / Álava,2011,5,SL,24,15695651
Albacete,2011,5,SL,33,18220610
Alicante / Alacant,2011,5,SL,98,67105124
Almería,2011,5,SL,49,13468119
Ávila,2011,5,SL,3,9020851
Badajoz,2011,5,SL,27,8328147
Illes Balears,2011,5,SL,136,99566173
Barcelona,2011,5,SL,488,326685106
Burgos,2011,5,SL,19,5202930
Cáceres,2011,5,SL,10,4172629
Cádiz,2011,5,SL,54,14073289
Castellón / Castelló,2011,5,SL,39,33148179
Ciudad Real,2011,5,SL,31,3119666
Córdoba,2011,5,SL,44,15268756
A Coruña,2011,5,SL,43,6720904
Cuenca,2011,5,SL,9,341625
Girona,2011,5,SL,72,32302074
Granada,2011,5,SL,52,13641779
Guadalajara,2011,5,SL,14,1847642
Gipuzkoa,2011,5,SL,32,18292636
Huelva,2011,5,SL,17,3888225
Huesca,2011,5,SL,18,9460646
Jaén,2011,5,SL,16,15759654
León,2011,5,SL,19,1747671
Lleida,2011,5,SL,37,3299100
La Rioja,2011,5,SL,17,6267254
Lugo,2011,5,SL,16,7009658
Madrid,2011,5,SL,662,1278104700
Málaga,2011,5,SL,118,74757462
Murcia,2011,5,SL,91,100588635
Navarra,2011,5,SL,24,5171010
Ourense,2011,5,SL,11,3414346
Asturias,2011,5,SL,55,36743155
Palencia,2011,5,SL,9,4952690
Las Palmas,2011,5,SL,55,34428612
Pontevedra,2011,5,SL,67,13177391
Salamanca,2011,5,SL,17,3815732
Santa Cruz de Tenerife,2011,5,SL,55,11395861
Cantabria,2011,5,SL,22,7809074
